anchor_id,anchor_source,anchor_name,address,lat,lng,store_type,open_year,open_years,catchment_side_m,store_area_sqft,store_area_m2,seats,is_inside_sc,biz_zone,location_type,prefecture_en,prefecture_jp,municipality_en,municipality_jp,density_tier,shinkansen_served_municipality,starbucks_in_500m_sq_cnt,starbucks_cnt_1km,starbucks_cnt_3km,starbucks_cnt_5km,tullys_in_500m_sq_cnt,tullys_cnt_1km,tullys_cnt_3km,tullys_cnt_5km,tea_brands_in_500m_sq_cnt,tea_brands_cnt_1km,tea_brands_cnt_3km,tea_brands_cnt_5km,mister_donut_in_500m_sq_cnt,mister_donut_cnt_1km,mister_donut_cnt_3km,mister_donut_cnt_5km,competitors_in_500m_sq_cnt,competitors_cnt_1km,competitors_cnt_3km,competitors_cnt_5km,gongcha_in_500m_sq_cnt,gongcha_cnt_1km,gongcha_cnt_3km,gongcha_cnt_5km,nearest_gongcha_id,nearest_gongcha_dist_km,gongcha_inside_sc_in_500m_sq_cnt,gongcha_inside_sc_cnt_1km,gongcha_inside_sc_cnt_3km,gongcha_inside_sc_cnt_5km,gongcha_outside_sc_in_500m_sq_cnt,gongcha_outside_sc_cnt_1km,gongcha_outside_sc_cnt_3km,gongcha_outside_sc_cnt_5km,sc_in_500m_sq_cnt,sc_cnt_1km,sc_cnt_3km,sc_cnt_5km,sc_sales_floor_m2_sum_in_500m_sq,sc_sales_mn_jpy_sum_in_500m_sq,sc_sales_floor_m2_sum_1km,sc_sales_mn_jpy_sum_1km,sc_sales_floor_m2_sum_3km,sc_sales_mn_jpy_sum_3km,sc_sales_floor_m2_sum_5km,sc_sales_mn_jpy_sum_5km,stations_in_500m_sq_cnt,stations_cnt_1km,stations_cnt_3km,stations_cnt_5km,nearest_stations_id,nearest_stations_dist_km,stations_passengers_2019_sum_in_500m_sq,stations_passengers_2024_sum_in_500m_sq,stations_passengers_2019_sum_1km,stations_passengers_2024_sum_1km,stations_passengers_2019_sum_3km,stations_passengers_2024_sum_3km,stations_passengers_2019_sum_5km,stations_passengers_2024_sum_5km,shinkansen_in_500m_sq_cnt,shinkansen_cnt_1km,shinkansen_cnt_3km,shinkansen_cnt_5km,nearest_shinkansen_id,nearest_shinkansen_dist_km,schools_in_500m_sq_cnt,schools_cnt_1km,schools_cnt_3km,schools_cnt_5km,schools_university_in_500m_sq_cnt,schools_university_cnt_1km,schools_university_cnt_3km,schools_university_cnt_5km,schools_high_school_in_500m_sq_cnt,schools_high_school_cnt_1km,schools_high_school_cnt_3km,schools_high_school_cnt_5km,schools_vocational_in_500m_sq_cnt,schools_vocational_cnt_1km,schools_vocational_cnt_3km,schools_vocational_cnt_5km,pop_total_500m,pop_female_total_500m,households_total_500m,household_income_avg_500m,beverages_total_500m,beverages_tea_500m,beverages_tea_drinks_500m,pop_age_10_14_500m,pop_age_15_19_500m,pop_age_20_24_500m,pop_age_25_29_500m,pop_age_30_34_500m,female_10_14_500m,female_15_19_500m,female_20_24_500m,female_25_29_500m,female_30_34_500m,women_10_29_500m,foot_traffic_in_500m_sq_cnt,foot_traffic_cnt_1km,foot_traffic_cnt_3km,foot_traffic_cnt_5km,foot_traffic_pop_2019_all_alltime_sum_in_500m_sq,foot_traffic_pop_2019_all_nighttime_sum_in_500m_sq,foot_traffic_pop_2019_weekday_daytime_sum_in_500m_sq,foot_traffic_pop_2019_weekend_daytime_sum_in_500m_sq,foot_traffic_pop_2021_all_alltime_sum_in_500m_sq,foot_traffic_pop_2021_all_nighttime_sum_in_500m_sq,foot_traffic_pop_2021_weekday_daytime_sum_in_500m_sq,foot_traffic_pop_2021_weekend_daytime_sum_in_500m_sq,foot_traffic_pop_2019_all_alltime_sum_1km,foot_traffic_pop_2019_all_nighttime_sum_1km,foot_traffic_pop_2019_weekday_daytime_sum_1km,foot_traffic_pop_2019_weekend_daytime_sum_1km,foot_traffic_pop_2021_all_alltime_sum_1km,foot_traffic_pop_2021_all_nighttime_sum_1km,foot_traffic_pop_2021_weekday_daytime_sum_1km,foot_traffic_pop_2021_weekend_daytime_sum_1km,foot_traffic_pop_2019_all_alltime_sum_3km,foot_traffic_pop_2019_all_nighttime_sum_3km,foot_traffic_pop_2019_weekday_daytime_sum_3km,foot_traffic_pop_2019_weekend_daytime_sum_3km,foot_traffic_pop_2021_all_alltime_sum_3km,foot_traffic_pop_2021_all_nighttime_sum_3km,foot_traffic_pop_2021_weekday_daytime_sum_3km,foot_traffic_pop_2021_weekend_daytime_sum_3km,foot_traffic_pop_2019_all_alltime_sum_5km,foot_traffic_pop_2019_all_nighttime_sum_5km,foot_traffic_pop_2019_weekday_daytime_sum_5km,foot_traffic_pop_2019_weekend_daytime_sum_5km,foot_traffic_pop_2021_all_alltime_sum_5km,foot_traffic_pop_2021_all_nighttime_sum_5km,foot_traffic_pop_2021_weekday_daytime_sum_5km,foot_traffic_pop_2021_weekend_daytime_sum_5km
gc_1420,gongcha_existing,ekimo Namba,"ekimo Namba, 1-9-7, Namba, Chuo-ku, Osaka-shi",34.6673251,135.5007316,FC,2020.0,5.757700205338809,500,1154.377899948,107.24517003886905,16.0,1,Terminal,Terminal, Osaka,大阪府,Chuo-ku,中央区,low_density,1,3.0,20,43,84,2.0,8,16,42,0.0,0,1,3,1.0,2,9,22,6.0,30,69,151,0.0,2,5,9,gc_1564,0.4841710848082412,0.0,2,5,8,0.0,0,0,1,2.0,10,30,64,32447.0,34764.0,288225.0,154806.0,688625.41,255846.0,1171406.63,525858.0,3.0,11,66,140,stn_4989,0.13657631507481846,532059.0,501085.0,1214525.0,1138176.0,4267837.0,3996030.0,8493628.0,7915827.0,0.0,0,0,0,stn_5753,7.378613238965566,1.0,17,212,499,0.0,0,7,14,0.0,0,25,53,1.0,13,67,137,172,78,79.1,5715550,5762207,1059529,730365,3,4,4,17,5,2,2,3,6,1,13,0.0,4,28,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305121.5,236844.75,129959.49999999999,140582.9166666667,252158.75,192229.5833333333,117422.25,122973.08333333334,951156.0,786110.3333333333,608252.0,611134.3333333333,830859.5833333334,694651.0,590520.9166666667,583642.4166666665,1917795.3333333333,1636980.0833333333,1320324.75,1322923.6666666665,1702551.0833333333,1470234.5,1282900.75,1269930.75
gc_1315,gongcha_existing,LUMINE Tachikawa,"1F, LUMINE Tachikawa, 2-1-1, Akebono-cho, Tachikawa-shi",35.6984488,139.4137607,DOS,2016.0,9.69199178644764,500,453.8641060044,42.16533704012677,,1,Urban SC,Commercial building, Tokyo,東京都,Tachikawa City,立川市,low_density,0,4.0,4,6,14,3.0,3,6,8,0.0,0,0,0,1.0,1,2,4,8.0,8,14,26,1.0,1,2,2,gc_1330,0.1194082133058026,1.0,1,2,2,0.0,0,0,0,4.0,8,10,17,59969.0,36970.0,113488.0,36970.0,179188.0,73570.0,306623.0,90031.0,2.0,3,15,32,stn_7568,0.047141955689183467,381175.0,352197.0,413541.0,384074.0,687314.0,635959.0,1096592.0,1012770.0,0.0,0,0,0,stn_5738,28.131188886220077,0.0,21,90,204,0.0,1,6,11,0.0,2,10,21,0.0,10,14,20,759,389,345.8,5384760,15169746,3468246,2107442,27,25,37,56,62,13,10,22,28,29,73,0.0,4,27,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99312.83333333333,79752.08333333333,63929.833333333336,63431.08333333333,90299.08333333333,72721.66666666666,64917.83333333333,63513.33333333333,273059.3333333333,250775.4166666667,235861.0,235172.0833333333,263560.9166666666,244699.25,234011.3333333333,233318.91666666666,598976.25,599483.0,603785.75,602884.1666666666,607610.0,606359.5833333333,606100.5,605948.0
gc_1377,gongcha_existing,Beans Asagaya,"1F, Beans Asagaya, 3-36-1,Asagayaminami, Suginami-ku",35.7048391,139.6364798,FC,2016.0,10.053388090349076,500,608.7371658732001,56.5535089211179,22.0,1,Terminal,Terminal, Tokyo,東京都,Suginami-ku,杉並区,low_density,0,2.0,2,8,16,0.0,0,3,8,0.0,0,0,0,0.0,1,2,7,2.0,3,13,31,0.0,0,0,0,gc_1553,5.070369483580524,0.0,0,0,0,0.0,0,0,0,1.0,1,5,12,4337.0,0.0,4337.0,0.0,53490.0,22862.0,111146.47,22862.0,1.0,2,16,62,stn_7506,0.05658215272486558,92178.0,84048.0,120322.0,111741.0,1046185.0,1089867.0,2758202.0,2608816.0,0.0,0,0,0,stn_7687,12.161684779099648,1.0,16,145,386,0.0,0,8,18,0.0,3,16,46,0.0,2,21,44,2561,1330,1648.3,5897288,88685623,20430056,12578003,65,64,103,206,245,31,32,54,107,129,224,0.0,3,28,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69968.91666666667,74374.16666666667,77803.25,77670.58333333334,74223.5,77132.66666666666,78658.75,78660.83333333333,467665.25,495104.6666666667,526389.75,523120.1666666667,488140.25,508560.5,523398.3333333333,522635.1666666666,1274411.6666666665,1333387.2499999998,1400212.75,1393118.333333333,1307758.8333333333,1351707.0833333335,1382736.25,1381190.5833333335
gc_1390,gongcha_existing,Sakae OASIS 21,"OASIS21, 1-11-1, higashi-sakura, higashi-ku, nagoya-shi",35.1705936,136.9092168,FC,2019.0,6.9486652977412735,500,1121.0371717818,104.14771637004456,21.0,1,Terminal,Terminal, Aichi,愛知県,Naka-ku,中区,low_density,1,2.0,10,36,50,0.0,4,6,10,0.0,0,0,0,0.0,1,5,11,2.0,15,47,71,1.0,2,4,6,gc_1389,0.1772745349416426,1.0,2,4,6,0.0,0,0,0,3.0,11,27,40,22306.8,0.0,133911.8,35971.0,399932.57,72725.0,611543.3799999999,80554.0,2.0,6,38,77,stn_9634,0.03588762292388957,261892.0,251068.0,426632.0,416099.0,2347192.0,2257548.0,3340032.0,3210072.0,0.0,0,1,1,stn_5746,2.560058678799646,1.0,24,181,387,0.0,0,9,26,0.0,0,9,31,1.0,17,82,113,121,55,68.4,5479532,3124296,740624,498239,3,2,4,11,14,1,1,2,5,7,9,0.0,4,27,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189654.41666666666,137511.6666666667,86052.66666666666,88466.16666666666,161603.4166666667,113854.91666666666,81108.91666666667,79447.5,693554.4166666667,560381.1666666665,427730.8333333333,427367.0,610422.8333333334,494004.75000000006,419958.49999999994,410413.0833333334,1171040.4166666665,1041973.4166666666,916753.9166666666,913447.0833333335,1089418.3333333335,980572.75,916193.25,904492.75
gc_1364,gongcha_existing,atre Kichijyoji,"1F, atre Kichijoji, 1-1-24, Kichijojiminami-cho, Musashin-shi",35.7031625,139.57989,FC,2017.0,9.114305270362763,500,248.8007026596,23.11433167918482,,1,Urban SC,Commercial building, Tokyo,東京都,Musashino City,武蔵野市,low_density,0,5.0,7,8,20,1.0,1,3,6,0.0,2,2,2,0.0,1,1,4,6.0,11,14,32,1.0,1,1,1,gc_1553,0.04286661704311591,1.0,1,1,1,0.0,0,0,0,7.0,8,9,15,90152.0,41904.0,102123.0,41904.0,105463.0,48164.0,213107.71,63588.0,2.0,3,9,27,stn_7502,0.007540379754438803,434271.0,383705.0,441085.0,390362.0,870250.0,778292.0,1813556.0,1634810.0,0.0,0,0,0,stn_5737,16.620956515230663,2.0,15,123,303,0.0,0,5,17,0.0,1,15,39,2.0,5,11,16,896,466,522.1,6731565,32514733,7447595,4540122,26,30,40,59,63,15,15,20,31,31,81,1.0,2,28,75,60311.083333333336,41433.166666666664,22984.083333333332,23574.583333333332,48607.833333333336,32697.666666666668,20196.916666666668,20601.0,68681.58333333334,50248.08333333333,32247.916666666664,32877.5,57849.75,42309.66666666667,29928.583333333336,30383.583333333336,382981.9166666667,389012.4166666666,398387.16666666674,397284.8333333333,390258.3333333334,392475.3333333334,392811.0,393253.5,930422.75,972758.75,1016822.4166666665,1014192.5,970669.8333333333,998194.0833333333,1010251.3333333333,1012168.9166666666
gc_1371,gongcha_existing,Yokohama West,"B1F, Shinsoutetsu bldg., 1-5-1, Minamisaiwai, Nishi-ku, Yokohama-shi",35.4645328,139.6206407,FC,2018.0,7.906913073237509,500,404.74926988859994,37.6024214204606,,1,Urban SC,Commercial building, Kanagawa,神奈川県,Nishi-ku,西区,low_density,1,4.0,15,29,34,1.0,8,20,23,2.0,3,4,4,2.0,2,5,7,9.0,28,58,68,0.0,2,4,4,gc_1519,0.22132103235872455,0.0,2,4,4,0.0,0,0,0,2.0,10,26,31,111924.0,100037.0,286551.0,137575.0,546346.98,197962.0,630304.98,197962.0,3.0,11,33,59,stn_473,0.1061564416179375,1413256.0,1123720.0,2149946.0,1984183.0,3076616.0,2809470.0,3898168.0,3642317.0,0.0,0,0,1,stn_5738,4.767305919192854,0.0,32,116,256,0.0,3,7,8,0.0,2,7,25,0.0,21,32,44,310,168,142.4,6084270,7908460,2018364,1121925,7,6,9,27,33,4,3,5,14,17,26,0.0,3,27,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171717.3333333333,117244.33333333333,70454.91666666667,69553.41666666667,137767.58333333334,96350.08333333334,71040.91666666667,69116.66666666667,607686.0,500813.6666666666,411281.1666666666,410781.0833333333,517484.0,446130.5,409321.6666666667,403684.1666666667,1017960.3333333333,935532.0833333334,871347.1666666667,868844.1666666666,937965.4848484849,887128.696969697,863879.5476190476,858160.0666666667
gc_1350,gongcha_existing,IKSPIARI,"2F, IKSPIARI Museum Lane, 1-4 Maihama, Urayasu-shi, Chiba",35.634694,139.8845524,DOS,2024.0,1.8809034907597533,500,698.0042767697998,64.84669132474471,24.0,1,Urban SC,Commercial building, Chiba,千葉県,Urayasu City,浦安市,low_density,0,3.0,3,5,9,0.0,1,1,2,0.0,0,1,1,0.0,0,1,5,3.0,4,8,17,0.0,0,0,1,gc_1342,3.096231865044008,0.0,0,0,1,0.0,0,0,0,1.0,1,5,12,28000.0,0.0,28000.0,0.0,97696.0,0.0,218360.0,11534.0,2.0,4,6,12,stn_8743,0.058573586036838696,205324.0,203531.0,272368.0,265494.0,314302.0,319395.0,794044.0,763747.0,0.0,0,0,0,stn_7687,11.732225928476929,0.0,2,44,112,0.0,0,1,4,0.0,0,4,7,0.0,0,0,14,14,8,5.2,7153846,394028,99594,62879,0,0,1,1,2,0,0,0,1,1,1,0.0,3,22,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102663.58333333333,68007.91666666666,26997.083333333336,28997.666666666664,44133.41666666667,31215.583333333332,20790.0,21137.916666666668,236410.97222222222,201709.8888888889,155027.15,158481.75,165427.4166666667,153936.0833333333,143283.8333333333,144226.0,507835.55555555556,492583.1204906205,460843.88333333336,464220.18333333335,448122.03787878784,446164.6166666667,439578.1952380953,441001.31666666665
gc_1366,gongcha_existing,Shibuya Spain-Zaka,"1F, Inoue Bldg., 16-13 Udagawa-cho, Shibuya-ku",35.6612561,139.6989452,FC,2017.0,8.640657084188911,500,752.85515214,69.94250219926242,10.0,0,Roadside,Street-level (roadside), Tokyo,東京都,Shibuya-ku,渋谷区,low_density,0,5.0,20,64,132,1.0,6,15,67,0.0,0,3,7,0.0,0,4,7,6.0,26,86,213,1.0,2,3,9,gc_1496,0.21848749887148491,1.0,2,2,6,0.0,0,1,3,5.0,14,29,63,43598.0,54140.0,160058.75,69864.0,434063.38,130504.0,739005.63,335701.0,0.0,6,41,126,stn_605,0.3113253513127986,0.0,0.0,2827066.0,3014331.0,5555614.0,5624399.0,14735527.0,13325960.0,0.0,0,0,0,stn_5737,5.115897737409966,1.0,34,216,576,0.0,2,20,59,0.0,2,23,68,0.0,22,62,129,221,106,167.0,7250000,17580850,4080189,2543905,8,6,5,15,21,3,2,3,7,10,15,0.0,3,28,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178572.5833333333,125365.16666666666,71725.0,71577.5,132072.25,94988.5,74177.5,70469.33333333334,926124.3333333335,722402.8333333333,551656.25,541831.6666666667,743871.1666666666,607457.5833333334,554691.75,534436.3333333334,2038294.25,1759852.25,1590046.8333333335,1556161.5833333335,1746903.0833333335,1563469.5,1566303.0833333333,1513473.2499999998
gc_1317,gongcha_existing,LUMINE  Ikebukuro,"8F, LUMINE Ikebukuro, 1-11-1, Nishiikebukuro, Toshima-ku",35.7289678,139.7096039,DOS,2018.0,8.11772758384668,500,366.0310049214,34.005378450212824,,1,Urban SC,Commercial building, Tokyo,東京都,Toshima-ku,豊島区,low_density,0,5.0,15,22,65,2.0,8,15,47,0.0,2,2,7,1.0,3,5,11,8.0,28,44,130,0.0,1,2,6,gc_1532,0.5742084405775254,0.0,1,1,4,0.0,0,1,2,2.0,7,10,35,104163.0,31446.0,206273.0,100902.0,232854.87,112315.0,526881.9099999999,313112.0,3.0,7,46,123,stn_4786,0.18274756265187023,2186356.0,1944512.0,2784199.0,2477508.0,4892224.0,4361888.0,12673642.0,11088140.0,0.0,0,0,0,stn_7685,6.361714991740053,2.0,54,304,734,0.0,3,27,64,0.0,4,36,84,1.0,30,87,187,512,232,362.9,5346514,19310299,4458845,2756162,13,14,33,58,55,6,8,20,16,15,50,0.0,4,27,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240976.41666666666,179774.9166666667,115917.83333333334,117058.25,194569.8333333333,147360.3333333333,115165.66666666669,113049.0,704711.25,648057.8333333333,602091.0,598499.5833333334,656610.0833333333,619646.6666666667,607736.5833333334,600946.8333333333,1949680.5,1816375.0833333335,1718017.5,1700392.5833333333,1790410.7499999998,1700424.0833333335,1700565.5,1672206.0
gc_1324,gongcha_existing,LINKS MARCHE Eat&Walk,"LINKS MARCHE Eat&Walk, 1-1, Ofukacho, Kita-ku, Osaka-shi",34.7039559,135.4959793,DOS,2019.0,6.505133470225872,500,610.1711756868,56.68673273483078,,1,Urban SC,Commercial building, Osaka,大阪府,Kita-ku,北区,low_density,1,12.0,32,46,79,5.0,19,26,39,1.0,2,2,2,0.0,5,11,20,18.0,58,85,140,2.0,3,3,6,gc_1325,0.07468648293723355,2.0,2,2,5,0.0,1,1,1,4.0,21,30,58,187747.0,155600.0,379177.0,256872.0,477579.87,271656.0,929230.8700000001,439602.0,2.0,10,46,113,stn_4994,0.1809603812191566,1287667.0,1171724.0,2424273.0,2204434.0,4236890.0,3887583.0,7536119.0,7083901.0,0.0,0,0,2,stn_5753,3.325895006558999,0.0,38,196,441,0.0,5,7,10,0.0,1,17,38,0.0,28,83,125,30,13,24.1,5537344,1503679,277499,192490,0,0,0,1,1,0,0,0,0,0,0,1.0,4,27,75,206927.83333333334,127862.91666666667,40662.0,42139.666666666664,152400.08333333334,90995.66666666667,32097.833333333332,32725.75,387752.1666666667,269341.4166666667,127389.91666666666,130889.83333333334,298709.9166666667,200189.33333333334,107749.25,106632.66666666666,886838.5,715166.0833333333,550842.5833333333,544298.5833333334,758997.8333333334,617650.4166666666,525256.6666666667,510786.3333333334,1889405.3333333335,1648515.6666666665,1374657.8333333335,1374371.8333333333,1689628.3333333333,1494108.6666666667,1341530.9166666667,1326198.4166666665
