anchor_id,monthly_sales_avg_alltime_jpy,n_months_alltime,monthly_sales_avg_l6m_jpy,n_months_l6m,l6m_first_month,l6m_last_month,sales_2025_local,ebitda_2025_local,ebitda_margin_2025
gc_1314,9219605.0,10,6036346.666666667,6,2019-11-01,2020-04-01,,,
gc_1315,9172072.506493507,77,10014881.833333334,6,2025-07-01,2025-12-01,,,
gc_1316,13032385.422222223,45,10705119.833333334,6,2022-10-01,2023-03-01,,,
gc_1317,12324464.155844156,77,16442347.666666666,6,2025-07-01,2025-12-01,,,
gc_1318,8214207.69047619,42,7326303.5,6,2022-08-01,2023-01-01,,,
gc_1319,7923376.8771929825,57,9313506.666666666,6,2023-10-01,2024-03-01,,,
gc_1320,7149264.376811594,69,11438746.0,6,2025-03-01,2025-08-01,,,
gc_1321,3966518.8571428573,35,4758836.0,6,2022-06-01,2022-11-01,,,
gc_1322,12403850.732394366,71,16362379.0,6,2025-07-01,2025-12-01,,,
gc_1323,8145012.529411765,68,15564888.666666666,6,2025-07-01,2025-12-01,,,
gc_1324,11033806.485294119,68,16526509.166666666,6,2025-07-01,2025-12-01,,,
gc_1325,7251965.19117647,68,12916260.666666666,6,2025-07-01,2025-12-01,,,
gc_1326,2936909.5217391304,23,3644739.8333333335,6,2022-03-01,2022-08-01,,,
gc_1327,8234793.126984127,63,13474234.0,6,2025-07-01,2025-12-01,,,
gc_1328,905025.3333333334,3,905025.3333333334,3,2020-10-01,2020-12-01,,,
gc_1329,10368234.852459017,61,15371988.5,6,2025-07-01,2025-12-01,,,
gc_1330,8756204.147540983,61,12609149.333333334,6,2025-07-01,2025-12-01,,,
gc_1331,9246697.870370371,54,13293625.333333334,6,2025-07-01,2025-12-01,,,
gc_1332,9959228.541666666,24,12645169.666666666,6,2023-10-01,2024-03-01,,,
gc_1333,5224930.944444444,36,6402582.166666667,6,2025-07-01,2025-12-01,,,
gc_1334,7128231.741935484,31,8141188.0,6,2025-07-01,2025-12-01,,,
gc_1335,8057597.777777778,27,10397314.333333334,6,2025-03-01,2025-08-01,,,
gc_1336,4393912.9677419355,31,4602095.666666667,6,2025-07-01,2025-12-01,,,
gc_1337,7942612.733333333,30,9810842.166666666,6,2025-07-01,2025-12-01,,,
gc_1338,6996191.296296297,27,8228128.166666667,6,2025-07-01,2025-12-01,,,
gc_1339,9980043.576923076,26,12005204.333333334,6,2025-07-01,2025-12-01,0.0,0.0,
gc_1340,8040626.76,25,9063614.166666666,6,2025-07-01,2025-12-01,,,
gc_1341,8536065.458333334,24,9801520.166666666,6,2025-07-01,2025-12-01,,,
gc_1342,6737376.47368421,19,7370350.666666667,6,2025-07-01,2025-12-01,,,
gc_1343,7544440.2105263155,19,7656184.333333333,6,2025-07-01,2025-12-01,,,
gc_1344,8973922.578947369,19,9345352.333333334,6,2025-07-01,2025-12-01,,,
gc_1345,6872138.0,18,7542587.833333333,6,2025-07-01,2025-12-01,,,
gc_1346,14003186.529411765,17,15559473.666666666,6,2025-07-01,2025-12-01,,,
gc_1347,12917977.1875,16,15295780.5,6,2025-07-01,2025-12-01,,,
gc_1348,7447157.363636363,11,8229700.833333333,6,2025-03-01,2025-08-01,,,
gc_1349,6575433.733333333,15,7135464.833333333,6,2025-07-01,2025-12-01,,,
gc_1350,17155835.75,12,18590413.666666668,6,2025-07-01,2025-12-01,,,
gc_1351,9487451.333333334,6,9487451.333333334,6,2025-01-01,2025-06-01,,,
gc_1352,11622786.583333334,12,12658341.666666666,6,2025-07-01,2025-12-01,,,
gc_1353,7157403.2,10,7152619.833333333,6,2025-07-01,2025-12-01,,,
gc_1354,9466533.857142856,7,9584009.333333334,6,2025-07-01,2025-12-01,,,
gc_1355,9361842.0,4,9361842.0,4,2025-09-01,2025-12-01,,,
gc_1356,7324614.75,4,7324614.75,4,2025-09-01,2025-12-01,,,
gc_1357,15148364.0,4,15148364.0,4,2025-09-01,2025-12-01,,,
gc_1358,13125947.0,2,13125947.0,2,2025-11-01,2025-12-01,,,
gc_1359,,1,,1,2025-12-01,2025-12-01,,,
gc_1363,9879980.26923077,78,10646032.333333334,6,2025-07-01,2025-12-01,121810862.0,17745446.0,0.1456803252898744
gc_1364,11939698.376623377,77,16980951.833333332,6,2025-07-01,2025-12-01,214514382.0,30669288.0,0.14297077759569518
gc_1365,13705354.315789474,57,13671402.666666666,6,2024-01-01,2024-06-01,0.0,0.0,
gc_1366,11323598.58974359,78,17788256.333333332,6,2025-07-01,2025-12-01,196989648.0,40674312.0,0.20647943896016302
gc_1367,9016086.371428572,35,5940757.666666667,6,2022-01-01,2022-06-01,,,
gc_1368,8709690.474358974,78,12001248.666666666,6,2025-07-01,2025-12-01,135057946.0,20721326.0,0.15342544895507296
gc_1369,13415068.051282052,78,16481357.333333334,6,2025-07-01,2025-12-01,185566770.0,36056195.0,0.19430308023360002
gc_1370,7131614.946428572,56,7600898.166666667,6,2023-09-01,2024-02-01,,,
gc_1371,15596997.512820512,78,18416236.833333332,6,2025-07-01,2025-12-01,211685927.0,27861702.169999998,0.13161811257297232
gc_1372,12266544.051282052,78,17120851.833333332,6,2025-07-01,2025-12-01,187665647.0,36966190.0,0.19697899211143316
gc_1373,7254106.48051948,77,8411325.0,6,2025-07-01,2025-12-01,93239984.0,14433709.0,0.15480171039068388
gc_1374,12599125.58974359,78,12904231.833333334,6,2025-07-01,2025-12-01,149138495.0,21745912.875000004,0.1458101939073477
gc_1375,11960956.756410256,78,14747273.0,6,2025-07-01,2025-12-01,171142965.0,23067463.050000004,0.134784757585566
gc_1376,9056612.461538462,78,9679479.5,6,2025-07-01,2025-12-01,107529177.0,13222516.0,0.12296677393894682
gc_1377,7317071.269230769,78,9395666.166666666,6,2025-07-01,2025-12-01,108699853.0,10765057.0,0.09903469694664628
gc_1378,8482395.807692308,78,11440193.666666666,6,2025-07-01,2025-12-01,129669338.0,21447389.0,0.16540062076973047
gc_1379,9234798.91025641,78,11018902.333333334,6,2025-07-01,2025-12-01,128458606.0,12064606.15,0.09391823970127779
gc_1380,12817808.858974358,78,22088570.666666668,6,2025-07-01,2025-12-01,242862348.0,63228627.0,0.2603475899854184
gc_1381,7088957.5,38,5454221.0,6,2022-04-01,2022-09-01,,,
gc_1382,10757605.35,60,13316064.0,6,2024-03-01,2024-08-01,,,
gc_1383,5261975.166666667,30,2878023.3333333335,6,2021-09-01,2022-02-01,,,
gc_1384,6602125.830985916,71,8491266.333333334,6,2025-07-01,2025-12-01,99019523.0,14427636.0,0.14570496365651045
gc_1385,5283525.786666667,75,5285713.833333333,6,2025-07-01,2025-12-01,59358839.0,-5544744.36501,-0.09341059323970267
gc_1386,5641235.9,50,6339751.333333333,6,2023-08-01,2024-01-01,0.0,0.0,
gc_1387,9429949.04054054,74,14940919.0,6,2025-07-01,2025-12-01,167149362.0,19874848.0,0.11890471948077193
gc_1388,8705935.333333334,6,8705935.333333334,6,2019-11-01,2020-04-01,,,
gc_1389,7469609.108108108,74,9195368.666666666,6,2025-07-01,2025-12-01,96333367.0,-2232400.679999999,-0.023173701382201234
gc_1390,14346739.342465753,73,19475899.166666668,6,2025-07-01,2025-12-01,214721684.0,34631475.6365,0.16128541371024271
gc_1391,9984114.657534247,73,13898636.833333334,6,2025-07-01,2025-12-01,155204839.0,27644895.530939996,0.17811877328734574
gc_1392,5569799.384615385,78,6308020.166666667,6,2025-07-01,2025-12-01,76494748.0,4766369.0,0.06230975491284709
gc_1393,5654306.432432433,37,3406609.3333333335,6,2022-08-01,2023-01-01,0.0,0.0,
gc_1394,9445262.862745099,51,9518674.833333334,6,2023-10-01,2024-03-01,,,
gc_1395,9388759.915492957,71,14428122.333333334,6,2025-07-01,2025-12-01,165090114.0,26255042.0,0.1590346106369519
gc_1396,7644740.362318841,69,10702143.666666666,6,2025-07-01,2025-12-01,120648847.0,20145414.0,0.1669756031733979
gc_1397,4807492.676470588,34,5080711.666666667,6,2022-07-01,2022-12-01,,,
gc_1398,10247449.869565217,69,13396298.5,6,2025-07-01,2025-12-01,142007137.0,3268307.995000001,0.023015096734187387
gc_1399,6259351.081081081,37,5494790.833333333,6,2022-11-01,2023-04-01,,,
gc_1400,8764802.333333334,66,12232336.166666666,6,2025-06-01,2025-11-01,128511776.0,22835729.0,0.17769366910002085
gc_1401,5582906.903225807,31,5384934.666666667,6,2022-06-01,2022-11-01,,,
gc_1402,4176560.9,10,3655907.5,6,2020-09-01,2021-02-01,,,
